edit_type_id,pair_mode,count,target_count,eligible_failures
E01,unpair,27,10,0
E02,unpair,0,10,10
E03,unpair,19,10,0
E04,unpair,16,10,0
E05,unpair,15,10,0
E06,unpair,15,10,0
E07,unpair,0,10,10
E08,unpair,10,10,0
E09,unpair,10,10,0
E10,unpair,10,10,0
E11,unpair,0,10,10
E12,unpair,16,10,0
E13,unpair,0,10,10
E14,unpair,16,10,0
E15,unpair,0,10,10
E16,unpair,15,10,0
E17,unpair,0,10,10
E18,unpair,0,10,10
E19,unpair,15,10,0
E20,unpair,16,10,0
